Step,Actual_Displacement,Predicted_Displacement,Residual
347,1.45,1.0913656724014378,0.3586343275985622
348,1.287,1.0933736100608715,0.1936263899391284
349,1.245,1.0953819193360097,0.1496180806639904
350,1.479,1.0973906215327212,0.38160937846727894
351,1.374,1.0993997394518684,0.2746002605481317
352,1.395,1.101409297514751,0.2935907024852491
353,1.327,1.1034193219007384,0.22358067809926152
354,1.388,1.1054298406984369,0.28257015930156304
355,1.095,1.1074408840718892,-0.012440884071889258
356,1.081,1.1094524844435036,-0.02845248444350368
357,1.532,1.1114646766956102,0.4205353233043898
358,1.339,1.1134774983927906,0.22552250160720932
359,1.384,1.1154909900273944,0.2685090099726055
360,1.263,1.1175051952909796,0.14549480470902032
361,1.263,1.119520161374756,0.14347983862524383
362,1.272,1.1215359393025373,0.15046406069746276
363,1.2,1.1235525843001606,0.07644741569983937
364,1.149,1.125570156205881,0.023429843794118943
365,1.386,1.127588719926861,0.25841128007313885
366,1.441,1.1296083459475836,0.3113916540524164
367,1.143,1.1316291108968457,0.011370889103154314
368,1.325,1.1336510981809256,0.19134890181907438
369,1.276,1.135674398691613,0.14032560130838712
370,1.402,1.1376991115990616,0.26430088840093835
371,1.428,1.1397253452408886,0.2882746547591113
372,1.253,1.141753218120649,0.111246781879351
373,1.372,1.1437828600308053,0.2282171399691948
374,1.683,1.1458144133176245,0.5371855866823756
375,1.429,1.1478480343081348,0.2811519656918653
376,1.455,1.1498838949224472,0.3051161050775528
377,1.368,1.1519221844984446,0.21607781550155547
378,1.194,1.1539631118602045,0.040036888139795446
379,1.479,1.1560069076666397,0.3229930923333604
380,1.487,1.1580538270828857,0.32894617291711437
381,1.524,1.160104152824096,0.36389584717590395
382,1.141,1.1621581986297516,-0.021158198629751546
383,1.264,1.1641582535249615,0.09984174647503852
384,1.498,1.1661583081463802,0.3318416918536198
385,1.511,1.1681583624953733,0.3428416375046266
386,1.22,1.1701584165732999,0.04984158342670009
387,1.282,1.1721584703815118,0.10984152961848825
388,1.317,1.1741585239213541,0.14284147607864583
389,1.443,1.1761585771941652,0.2668414228058349
390,1.412,1.1781586302012772,0.23384136979872272
